Incident_Title,Incident_Count
(Eddie Test) StatusPage Monitor: [Postmortem] Degraded Notification performance on source:statuspage,1
"(Eddie Test) StatusPage Monitor: [Monitoring] Issues in new product activations, user management and user imports on source:statuspage",2
"(Eddie Test) StatusPage Monitor: [Triggered on {source:statuspage}] (Eddie Test) StatusPage Monitor: [Monitoring] Issues in new product activations, user management and user imports",1
(Eddie Test) StatusPage Monitor: [Resolved] Some Marketplace Apps failing to install on source:statuspage,1
(Eddie Test) StatusPage Monitor: [Investigating] Automations and rules issue on source:statuspage,1
Confluence Incident - Automations and rules issue - 13 June 2023,1
"(Eddie Test) StatusPage Monitor: [Resolved] Issues in new product activations, user management and user imports on source:statuspage",1
(Eddie Test) StatusPage Monitor: [Identified] Automations and rules issue on source:statuspage,3
(Eddie Test) StatusPage Monitor: [Resolved] Automations and rules issue on source:statuspage,2
Confluence Incident - Confluence partial outage - 14 June 2023,1
(Eddie Test) StatusPage Monitor: [Investigating] Confluence partial outage on source:statuspage,2
(Eddie Test) StatusPage Monitor: [Investigating] Confluence Instability on source:statuspage,1
Confluence Incident - Confluence Instability - 14 June 2023,1
(Eddie Test) StatusPage Monitor: [Resolved] Confluence Instability on source:statuspage,1
"Confluence Incident - Adding a user to Space Permissions(Internal/guest user), the window is not displayed appropriately (misaligned). - 15 June 2023",1
"(Eddie Test) StatusPage Monitor: [Investigating] Adding a user to Space Permissions(Internal/guest user), the window is not displayed appropriately (misaligned). on source:statuspage",1
(Eddie Test) StatusPage Monitor: [Investigating] Customers may receive 403 Access denied -&gt; Access by unmanaged users not allowed on source:statuspage,2
"(Eddie Test) StatusPage Monitor: [Identified] Adding a user to Space Permissions(Internal/guest user), the window is not displayed appropriately (misaligned). on source:statuspage",1
(Eddie Test) StatusPage Monitor: [Resolved] Customers may receive 403 Access denied -&gt; Access by unmanaged users not allowed on source:statuspage,1
"(Eddie Test) StatusPage Monitor: [Resolved] Adding a user to Space Permissions(Internal/guest user), the window is not displayed appropriately (misaligned). on source:statuspage",1
(Eddie Test) StatusPage Monitor: [Resolved] Delays in event processing on source:statuspage,1
Test from SF to PD,1
(Eddie Test) StatusPage Monitor: [Identified] Issue with MS Teams Integration on source:statuspage,1
(Eddie Test) StatusPage Monitor: [Investigating] Issue with MS Teams Integration on source:statuspage,6
(Eddie Test) StatusPage Monitor: [Resolved] Issue with MS Teams Integration on source:statuspage,1
(Eddie Test) StatusPage Monitor: [Investigating] Jira platform failing to send webhook notifications for some events on source:statuspage,3
(Eddie Test) StatusPage Monitor: [Postmortem] Confluence Instability on source:statuspage,1
(Eddie Test) StatusPage Monitor: [Monitoring] Jira platform failing to send webhook notifications for some events on source:statuspage,1
(Eddie Test) StatusPage Monitor: [Resolved] Jira platform failing to send webhook notifications for some events on source:statuspage,1
Critical Escalation to Infrastructure Team,1
(Eddie Test) StatusPage Monitor: [Postmortem] Automations and rules issue on source:statuspage,1
